average_paths_per_processed_user,bound_fallbacks,budget_fraction,city,dominance_enabled,enumeration_limit_seconds,enumeration_seconds,max_paths_per_user,median_paths_per_processed_user,multi_path_users,multimodal_paths,multimodal_users,network_arcs,network_nodes,nusers_requested,retained_stations,run_status,timed_out,total_paths,users_processed,users_with_paths,wall_time_seconds
1.006,0,0.5,cologne,true,120.0,5.743000030517578,2,1.0,6,0,0,5030,200,1000,50,ok,false,1006,1000,1000,6.397000074386597
1.034,0,0.5,cologne,false,120.0,4.8420000076293945,3,1.0,33,0,0,5030,200,1000,50,ok,false,1034,1000,1000,4.843000173568726
1.0066,0,0.5,cologne,true,120.0,49.1419997215271,2,1.0,66,2,2,5030,200,10000,50,ok,false,10066,10000,10000,49.14699983596802
1.0392,0,0.5,cologne,false,120.0,49.180999755859375,3,1.0,385,2,2,5030,200,10000,50,ok,false,10392,10000,10000,49.204999923706055
1.011,0,0.5,cologne,true,120.0,14.924000024795532,3,1.0,9,11,11,13325,400,1000,100,ok,false,1011,1000,1000,14.933000087738037
1.022,0,0.5,cologne,false,120.0,14.825999975204468,3,1.0,20,11,11,13325,400,1000,100,ok,false,1022,1000,1000,14.825999975204468
1.0123931094311562,1,0.5,cologne,true,120.0,119.96300029754639,4,1.0,87,71,67,13325,400,10000,100,ok,true,8169,8069,8069,120.04800009727478
1.0192259985115355,1,0.5,cologne,false,120.0,119.99799990653992,5,1.0,136,74,67,13325,400,10000,100,ok,true,8217,8062,8062,120.0149998664856
1.014,0,0.5,cologne,true,120.0,24.996000051498413,2,1.0,14,9,9,21061,600,1000,150,ok,false,1014,1000,1000,24.999000072479248
1.017,0,0.5,cologne,false,120.0,25.170000314712524,2,1.0,17,9,9,21061,600,1000,150,ok,false,1017,1000,1000,25.174000024795532
1.0108536839908162,1,0.5,cologne,true,120.0,119.99499988555908,3,1.0,50,31,31,21061,600,10000,150,ok,true,4843,4791,4791,120.00799989700317
1.0147855060391504,1,0.5,cologne,false,120.0,120.00099992752075,3,1.0,67,31,31,21061,600,10000,150,ok,true,4873,4802,4802,120.00099992752075
1.023,0,0.5,cologne,true,120.0,35.08799982070923,6,1.0,18,20,17,27803,800,1000,200,ok,false,1023,1000,1000,35.097999811172485
1.037,0,0.5,cologne,false,120.0,35.64100003242493,7,1.0,30,21,18,27803,800,1000,200,ok,false,1037,1000,1000,35.644999980926514
1.0158823529411765,0,0.5,cologne,true,120.0,119.96500039100647,6,1.0,48,39,36,27803,800,10000,200,ok,true,3454,3400,3399,120.00699996948242
1.0297408716136631,1,0.5,cologne,false,120.0,119.98500037193298,7,1.0,91,40,37,27803,800,10000,200,ok,true,3497,3396,3396,120.00699996948242
1.365,0,0.5,heidelberg,true,120.0,3.1409997940063477,10,1.0,208,123,86,3365,200,1000,50,ok,false,1365,1000,1000,3.1409997940063477
1.641,0,0.5,heidelberg,false,120.0,3.192000150680542,16,1.0,256,135,86,3365,200,1000,50,ok,false,1641,1000,1000,3.192000150680542
1.326,0,0.5,heidelberg,true,120.0,32.182000398635864,11,1.0,2036,1047,812,3365,200,10000,50,ok,false,13260,10000,10000,32.19200015068054
1.609,0,0.5,heidelberg,false,120.0,32.03099989891052,30,1.0,2485,1356,812,3365,200,10000,50,ok,false,16090,10000,10000,32.05299997329712
1.556,0,0.5,heidelberg,true,120.0,5.726999998092651,16,1.0,224,234,132,5624,400,1000,100,ok,false,1556,1000,1000,5.726999998092651
3.248,0,0.5,heidelberg,false,120.0,5.751999855041504,226,1.0,265,489,132,5624,400,1000,100,ok,false,3248,1000,1000,5.753999948501587
1.5426,0,0.5,heidelberg,true,120.0,58.206000566482544,20,1.0,2158,2315,1327,5624,400,10000,100,ok,false,15426,10000,10000,58.21500015258789
3.2884,0,0.5,heidelberg,false,120.0,58.046000242233276,321,1.0,2676,5612,1331,5624,400,10000,100,ok,false,32884,10000,10000,58.08400011062622
1.99,0,0.5,heidelberg,true,120.0,8.230000019073486,41,1.0,239,486,150,7557,600,1000,150,ok,false,1990,1000,1000,8.230000019073486
24.186,0,0.5,heidelberg,false,120.0,8.882000207901001,3424,1.0,270,4230,150,7557,600,1000,150,ok,false,24186,1000,1000,8.891999959945679
